               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.027961,            0.038008,           0.0014473,              0.9582,             0.93318,             0.96474,             0.68232,            0.025468,            0.037338,           0.0013021,           0.0086146,           0.0086146,           0.0086146
                  79,            0.028965,            0.038272,            0.001579,              0.9446,             0.94995,             0.96644,             0.67514,            0.026018,            0.037086,           0.0014149,           0.0085805,           0.0085805,           0.0085805
                  80,            0.028875,            0.038995,           0.0015068,             0.94036,             0.95037,             0.96496,             0.67032,            0.026276,            0.037049,           0.0012695,           0.0085459,           0.0085459,           0.0085459
                  81,            0.028614,            0.038078,            0.001429,             0.94878,             0.94533,              0.9621,             0.66868,            0.025835,            0.037445,           0.0013383,           0.0085111,           0.0085111,           0.0085111
                  82,            0.028397,            0.038756,           0.0015038,             0.94779,             0.94709,             0.96536,             0.67431,            0.025601,            0.037136,           0.0013214,           0.0084759,           0.0084759,           0.0084759
                  83,            0.028895,            0.040022,           0.0014606,             0.95392,              0.9448,              0.9671,             0.67759,            0.025938,             0.03709,           0.0011998,           0.0084404,           0.0084404,           0.0084404
                  84,            0.028432,            0.038715,           0.0015114,             0.95486,              0.9454,             0.96798,             0.67739,            0.025729,            0.036783,           0.0013123,           0.0084046,           0.0084046,           0.0084046
                  85,            0.027512,            0.038382,           0.0015089,             0.95606,             0.94349,             0.96682,             0.68025,            0.025302,            0.036478,           0.0013169,           0.0083684,           0.0083684,           0.0083684
                  86,            0.027394,            0.038539,           0.0013842,             0.95094,             0.94254,             0.96724,             0.68477,            0.025348,            0.036707,           0.0012128,           0.0083319,           0.0083319,           0.0083319
                  87,             0.02877,            0.038385,           0.0013649,             0.94278,             0.95143,             0.96536,             0.68186,            0.025421,             0.03702,           0.0011161,           0.0082952,           0.0082952,           0.0082952
                  88,            0.027568,            0.037436,           0.0013218,             0.95347,              0.9398,             0.96852,             0.68526,            0.025106,            0.036806,           0.0011742,           0.0082581,           0.0082581,           0.0082581
                  89,            0.027175,            0.038353,           0.0014562,             0.95076,             0.94692,             0.96895,             0.68898,            0.025122,            0.036811,           0.0012466,           0.0082207,           0.0082207,           0.0082207
                  90,            0.027667,            0.037942,           0.0014073,             0.95371,             0.93831,             0.96691,             0.68553,            0.025013,            0.036711,            0.001223,            0.008183,            0.008183,            0.008183
                  91,            0.027247,            0.037364,           0.0014197,             0.95365,             0.94458,             0.96786,             0.69283,            0.025004,            0.036717,           0.0013171,            0.008145,            0.008145,            0.008145
